,Titles,Links
0,The Economics Daily,https://www.bls.gov/opub//opub/ted/
1,Monthly Labor Review,https://www.bls.gov/opub//opub/mlr/
2,Beyond the Numbers,https://www.bls.gov/opub//opub/btn/
3,Spotlight on Statistics,https://www.bls.gov/opub//spotlight/
4,Reports,https://www.bls.gov/opub//opub/reports/
5,Occupational Outlook Handbook,https://www.bls.gov/opub//ooh
6,Handbook of Methods,https://www.bls.gov/opub//opub/hom/
7,Commissioner's Corner,https://www.bls.gov/opub/https://blogs.bls.gov/blog/
8,Career Outlook,https://www.bls.gov/opub//careeroutlook/
9,Geographic Profile,https://www.bls.gov/opub//opub/geographic-profile/
10,Research Papers,https://www.bls.gov/opub//osmr/research-papers/
11,Copyright Information,https://www.bls.gov/opub//opub/copyright-information.htm
12,Contact & Help,https://www.bls.gov/opub//opub/opbinfo.htm
13,Weekly Update,https://www.bls.gov/opub//opub/update.htm
